Type of Wine,Wine Grape,Estilo Vinho,Característica Vinho 1,Característica Vinho 2,Característica Vinho 3,Característica Vinho 4,Tipo de Queijo,Família Queijo,Textura Queijo,Sabor Queijo 1,Sabor Queijo 2,Sabor Queijo 3,Sabor Queijo 4,Tipo de Combinação,Sigla da Combinação,Detalhamento Combinação,texture_new,texture_creamy,texture_crumbly,texture_elastic,texture_firm,texture_granular,texture_hard,texture_smooth,type_new,type_blue,type_fresh,type_hard,type_semi-hard,type_soft,family_new,family_Swiss,family_blue,family_brie,family_camembert,family_cheddar,family_feta,family_goat,family_gorgonzola,family_gouda,family_manchego,family_mozzarella,family_parmesan,family_pecorino,family_ricotta,flavor_new,flavor_blue_veins,flavor_complex,flavor_creamy,flavor_dairy-like,flavor_fresh,flavor_fruity,flavor_goat-like,flavor_intense,flavor_mild,flavor_milky,flavor_nutty,flavor_pronounced_aroma,flavor_salty,flavor_slightly_acidic,flavor_slightly_fruity,flavor_slightly_salty,flavor_slightly_spicy,flavor_slightly_sweet,flavor_spicy,flavor_velvety,wedding_ID
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Azul,Azul,"Cremosa, esfarelante",Intenso, salgado, picante, veias azuis,Complementariedade,C,O queijo azul intensifica os sabores complexos do vinho tinto encorpado.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, salty, spicy, blue veins",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,O Gouda suave e levemente salgado combina com os taninos e frutas negras do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Gorgonzola complementa o vinho com seu sabor intenso e picante.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Pecorino destaca os sabores do vinho com sua textura granulada e sabor intenso.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Parmesão,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Parmesão acentua o perfil do vinho com sua textura granulada e sabor salgado.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,parmesan,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Cabernet Sauvignon
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Azul,Azul,"Cremosa, esfarelante",Intenso, salgado, picante, veias azuis,Contraste,Cr,O contraste entre o vinho suave e o queijo azul intenso pode destacar ambos.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, salty, spicy, blue veins",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gruyère,Semi-dura,"Firme, macia",Leitoso, frutado, levemente picante, complexo,Complementariedade,C,Gruyère harmoniza com o Merlot ao equilibrar o frutado e o corpo do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"milky, fruity, slightly spicy, complex",False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Merlot
red,Pinot Noir,Leve a Médio,Frutas vermelhas, floral, taninos suaves,,Brie,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,A cremosidade do Brie combina bem com os taninos suaves e o perfil frutado do Pinot Noir.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,brie,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,red - Pinot Noir
red,Pinot Noir,Leve a Médio,Frutas vermelhas, floral, taninos suaves,,Camembert,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,Camembert e Pinot Noir harmonizam pela textura cremosa e o sabor leve.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,camembert,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,red - Pinot Noir
red,Pinot Noir,Leve a Médio,Frutas vermelhas, floral, taninos suaves,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Contraste,Cr,A combinação de Gouda e Pinot Noir pode criar um interessante contraste de sabores.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Pinot Noir
red,Shiraz,Encorpado,Frutas negras, especiarias, taninos robustos,,Roquefort,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,O queijo azul complementa o caráter robusto e especiado do Syrah/Shiraz.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,red - Shiraz
red,Shiraz,Encorpado,Frutas negras, especiarias, taninos robustos,,Cheddar,Dura,"Firme, quebradiça",Salgado, levemente ácido, frutado,,Contraste,Cr,O Cheddar acrescenta um contraste interessante com o vinho robusto e especiado.,"firm, crumbly",False,True,False,True,False,False,False,hard,False,False,True,False,False,cheddar,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"salty, slightly acidic, fruity",False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,red - Shiraz
red,Malbec,Encorpado,Frutas negras, especiarias, taninos firmes,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Gorgonzola e Malbec oferecem uma combinação intensa e complexa de sabores.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,red - Malbec
red,Malbec,Encorpado,Frutas negras, especiarias, taninos firmes,,Roquefort,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Roquefort realça a intensidade e complexidade do Malbec.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,red - Malbec
red,Malbec,Encorpado,Frutas negras, especiarias, taninos firmes,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Pecorino e Malbec combinam devido à textura e ao sabor intenso do queijo.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Malbec
red,Malbec,Encorpado,Frutas negras, especiarias, taninos firmes,,Parmesão,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Parmesão combina com Malbec pelo seu sabor forte e textura granulada.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,parmesan,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Malbec
red,Carménère,Médio a Encorpado,Frutas vermelhas, especiarias, vegetal,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Carménère harmonizam devido à suavidade e ao caráter frutado do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Carménère
red,Carménère,Médio a Encorpado,Frutas vermelhas, especiarias, vegetal,,Emmental,Semi-dura,"Firme, macia",Leitoso, levemente frutado, levemente adocicado,,Complementariedade,C,Emmental complementa o vinho com sua textura e sabor frutado e suave.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"milky, slightly fruity, slightly sweet",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,red - Carménère
red,Tempranillo,Encorpado,Frutas vermelhas, especiarias, taninos maduros,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Pecorino destaca o sabor complexo do Tempranillo com sua textura e intensidade.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Tempranillo
red,Tempranillo,Encorpado,Frutas vermelhas, especiarias, taninos maduros,,Parmesão,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Parmesão e Tempranillo combinam devido à intensidade e complexidade de ambos.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,parmesan,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Tempranillo
rosé,Merlot,Corpo Médio,Frutas vermelhas, taninos suaves, corpo redondo,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Contraste,Cr,Pecorino é intenso e salgado contrastando com as frutas vermelhas e taninos suaves do Merlot.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,rosé - Merlot
rosé,Merlot,Corpo Médio,Frutas vermelhas, taninos suaves, corpo redondo,,Parmesão,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Contraste,Cr,Parmesão tem um sabor intenso e salgado que contrasta com o perfil frutado e suave do Merlot.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,parmesan,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,rosé - Merlot
rosé,Merlot,Corpo Médio,Frutas vermelhas, taninos suaves, corpo redondo,,Brie,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,Brie é suave e cremoso combinando bem com as frutas vermelhas e taninos suaves do Merlot.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,brie,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,rosé - Merlot
rosé,Merlot,Corpo Médio,Frutas vermelhas, taninos suaves, corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda complementa o Merlot com sua textura macia e sabores leitosos e levemente salgados.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Merlot
rosé,Malbec,Médio a Encorpado,Frutas vermelhas e negras, especiarias, taninos firmes,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Gorgonzola combina com o Malbec por sua intensidade e picância realçando os sabores do vinho.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Malbec
rosé,Malbec,Médio a Encorpado,Frutas vermelhas e negras, especiarias, taninos firmes,,Roquefort,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Roquefort e Malbec combinam por sua intensidade e complexidade de sabores.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Malbec
rosé,Grenache,Leve a Médio,Frutas vermelhas, corpo médio, taninos suaves,,Brie,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,Brie e Rosé combinam pela suavidade e frescor de ambos.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,brie,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,rosé - Grenache
rosé,Grenache,Leve a Médio,Frutas vermelhas, corpo médio, taninos suaves,,Mozzarella,Fresco,"Elástica, macia",Suave, lácteo, levemente salgado,,Complementariedade,C,Mozzarella e Rosé harmonizam pela leveza e frescor dos dois.,"elastic, smooth",False,False,True,False,False,False,True,fresh,False,True,False,False,False,mozzarella,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"mild, dairy-like, slightly salty",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,rosé - Grenache
rosé,Grenache,Leve a Médio,Frutas vermelhas, corpo médio, taninos suaves,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda combina com Grenache pela textura e perfil suave criando uma harmonia entre os sabores.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Grenache
rosé,Shiraz,Médio,Frutas vermelhas e negras, especiarias, corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Syrah/Shiraz se complementam pela textura e sabores ricos e aveludados.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Shiraz
rosé,Shiraz,Médio,Frutas vermelhas e negras, especiarias, corpo médio,,Emmental,Semi-dura,"Firme, macia",Leitoso, levemente frutado, levemente adocicado,,Complementariedade,C,Emmental e Syrah/Shiraz harmonizam com a textura firme e sabores levemente frutados.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"milky, slightly fruity, slightly sweet",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,rosé - Shiraz
rosé,Shiraz,Médio,Frutas vermelhas e negras, especiarias, corpo médio,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Contraste,Cr,Gorgonzola oferece um contraste forte com Syrah/Shiraz pela sua intensidade e picância.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Shiraz
rosé,Mourvèdre,Médio,Frutas negras, especiarias, taninos robustos, corpo médio,Comté,Duro,"Granulada, dura",Intenso, frutado, levemente picante,,Complementariedade,C,Comté e Mourvèdre combinam bem pela intensidade e complexidade dos sabores.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"intense, fruity, slightly spicy",False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,rosé - Mourvèdre
rosé,Mourvèdre,Médio,Frutas negras, especiarias, taninos robustos, corpo médio,Manchego,Duro,Quebradiça,Intenso, salgado, aveludado, nozes,Complementariedade,C,Manchego e Mourvèdre se complementam pela textura quebradiça e os sabores intensos e salgados.,crumbly,False,True,False,False,False,False,False,hard,False,False,True,False,False,manchego,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"intense, salty, velvety, nutty",False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,rosé - Mourvèdre
rosé,Cinsault,Leve,Frutas vermelhas, acidez alta, taninos leves, corpo leve,Mozzarella,Fresco,"Elástica, macia",Suave, lácteo, levemente salgado,,Complementariedade,C,Mozzarella e Cinsault harmonizam pela leveza e frescor complementando os sabores sutis do vinho.,"elastic, smooth",False,False,True,False,False,False,True,fresh,False,True,False,False,False,mozzarella,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"mild, dairy-like, slightly salty",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,rosé - Cinsault
rosé,Cinsault,Leve,Frutas vermelhas, acidez alta, taninos leves, corpo leve,Ricota,Fresco,"Macia, granulosa",Suave, levemente doce, fresca,,Complementariedade,C,Ricota combina com Cinsault pela suavidade e frescor harmonizando os sabores delicados.,"smooth, granular",False,False,False,False,True,False,True,fresh,False,True,False,False,False,ricotta,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"mild, slightly sweet, fresh",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,rosé - Cinsault
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Tempranillo
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Manchego,Duro,Quebradiça,Intenso, salgado, aveludado, nozes,Complementariedade,C,Manchego e Tempranillo se complementam pela textura quebradiça e os sabores intensos e salgados.,crumbly,False,True,False,False,False,False,False,hard,False,False,True,False,False,manchego,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"intense, salty, velvety, nutty",False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,rosé - Tempranillo
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Roquefort,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Contraste,Cr,Roquefort e Tempranillo oferecem um contraste entre a intensidade picante do queijo e o perfil frutado do vinho.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Tempranillo
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Contraste,Cr,Gorgonzola oferece um contraste robusto com o Tempranillo pela sua intensidade e picância.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Tempranillo
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Tempranillo
rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras, taninos maduros, corpo médio,,Emmental,Semi-dura,"Firme, macia",Leitoso, levemente frutado, levemente adocicado,,Complementariedade,C,Emmental e Rosé com Tempranillo se harmonizam bem com a leveza e frescor do vinho equilibrando a textura firme e o sabor levemente adocicado do queijo.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"milky, slightly fruity, slightly sweet",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,rosé - Tempranillo
rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas, taninos elegantes, corpo médio,,Manchego,Duro,Quebradiça,Intenso, salgado, aveludado, nozes,Complementariedade,C,Manchego e Sangiovese combinam pela textura e sabores intensos complementando os taninos do vinho.,crumbly,False,True,False,False,False,False,False,hard,False,False,True,False,False,manchego,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"intense, salty, velvety, nutty",False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,rosé - Sangiovese
rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas, taninos elegantes, corpo médio,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Pecorino e Sangiovese se complementam pela intensidade e complexidade de sabores com o queijo contrastando com o perfil ácido do vinho.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,rosé - Sangiovese
rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas, taninos elegantes, corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Sangiovese combinam pela suavidade e textura harmonizando os sabores frutados e ácidos do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Sangiovese
rosé,Pinot Noir,Leve,Frutas vermelhas, floral, taninos suaves, corpo leve,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,Gouda e Pinot Noir se complementam pela textura e suavidade dos sabores harmonizando a leveza do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,rosé - Pinot Noir
rosé,Pinot Noir,Leve,Frutas vermelhas, floral, taninos suaves, corpo leve,Roquefort,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Contraste,Cr,Roquefort e Pinot Noir contrastam pela intensidade do queijo e a leveza do vinho criando um equilíbrio interessante.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,rosé - Pinot Noir
